"RelativePath","Bytes","LastWriteTime"
"APOS_X_SYNC_PROTOCOL.md","2624","2026-05-08 20:16:26"
"CHECKLIST_AUDITORIA_MODELO_ED1.md","2910","2026-05-08 20:13:15"
"HANDOFF_WS2_ED1.md","1931","2026-05-08 20:13:15"
"HECRAS2_ARCHIVOS_ESPERADOS.md","1561","2026-05-08 20:13:15"
"INVENTARIO.csv","1854","2026-05-08 20:14:37"
"LICENCIA_ETABS21_REGLA_CRITICA.md","1047","2026-05-08 20:13:15"
"MANIFEST_BASE_WS1.md","2203","2026-05-04 22:16:42"
"PROMPT_PARA_CODEX_WS2.md","2773","2026-05-08 20:16:26"
"README.md","3655","2026-05-08 20:16:26"
"WS2_COMMANDS.md","1274","2026-05-08 20:13:15"
"APOS_X_BASE\README.md","517","2026-05-08 20:16:26"
"APOS_X_BASE\.apos\.gitignore","109","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\ACTIVE_SPEC.md","1878","2026-04-20 13:03:04"
"APOS_X_BASE\.apos\BOOTSTRAP.md","5292","2026-04-20 15:47:43"
"APOS_X_BASE\.apos\CONTEXT_POLICY.md","1469","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\DECISIONS.md","23607","2026-05-08 20:16:26"
"APOS_X_BASE\.apos\DOMAIN_CANON.md","1111","2026-03-20 17:59:27"
"APOS_X_BASE\.apos\GOVERNANCE.md","1197","2026-03-20 17:58:00"
"APOS_X_BASE\.apos\HANDOFF.md","9978","2026-05-08 20:16:26"
"APOS_X_BASE\.apos\INDEX.md","1394","2026-05-01 10:57:07"
"APOS_X_BASE\.apos\JOURNAL.md","21813","2026-05-08 20:16:26"
"APOS_X_BASE\.apos\LEARNINGS.md","1605","2026-03-20 17:58:22"
"APOS_X_BASE\.apos\MODULES.md","299","2026-05-01 10:57:07"
"APOS_X_BASE\.apos\NARRATIVE.md","4663","2026-04-20 13:03:04"
"APOS_X_BASE\.apos\OPEN_QUESTIONS.md","1473","2026-03-20 17:57:41"
"APOS_X_BASE\.apos\PLAN.md","2210","2026-05-04 22:16:42"
"APOS_X_BASE\.apos\PROJECT_BRIEF.md","1161","2026-03-20 17:55:49"
"APOS_X_BASE\.apos\QUALITY.md","486","2026-05-01 10:57:07"
"APOS_X_BASE\.apos\README.md","565","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\RESEARCH_LOG.md","16","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\RISKS.md","1068","2026-05-08 20:14:08"
"APOS_X_BASE\.apos\SOURCES.md","3363","2026-05-04 22:16:42"
"APOS_X_BASE\.apos\STATUS.md","14942","2026-05-08 20:16:26"
"APOS_X_BASE\.apos\WORKING_MODEL.md","3869","2026-05-08 20:14:27"
"APOS_X_BASE\.apos\cache\.gitkeep","0","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\evidence\README.md","88","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\evidence\append-only-baselines\DECISIONS.md","19284","2026-04-30 23:43:43"
"APOS_X_BASE\.apos\evidence\append-only-baselines\JOURNAL.md","15621","2026-04-30 23:43:43"
"APOS_X_BASE\.apos\evidence\append-only-baselines\manifest.json","258","2026-04-30 23:43:43"
"APOS_X_BASE\.apos\evidence\append-only-baselines\RESEARCH_LOG.md","0","2026-04-30 23:43:43"
"APOS_X_BASE\.apos\evidence\append-only-baselines\SOURCES.md","1341","2026-04-30 23:43:43"
"APOS_X_BASE\.apos\research\INDEX.md","57","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\snapshots\README.md","62","2026-04-30 23:43:52"
"APOS_X_BASE\.apos\transfers\2026-05-04-ed1-ws-etabs21-reporte-externo.md","2426","2026-05-04 22:16:42"
"APOS_X_BASE\.apos\transfers\INDEX.md","534","2026-05-08 20:14:53"
"APOS_X_BASE\.apos\transfers\raw\.gitkeep","0","2026-04-30 23:43:52"
"files\01_Enunciado_Taller.pdf","517804","2026-05-04 22:16:42"
"files\02_Material_Apoyo_Taller_2026.pdf","7777252","2026-05-04 22:16:42"
"files\03_Paso_a_Paso_ETABS_Lafontaine.pdf","5015615","2026-05-04 22:16:42"
"files\04_Manual_ETABS_v19.pdf","12382959","2026-05-04 22:16:42"
"files\05_NCh433_2026_para_Curso.pdf","1137260","2026-05-04 22:16:42"
"files\06_NCh433_1996_Mod2009_historica.pdf","421245","2026-05-04 22:16:42"
"files\07_DS61_2011_historico.pdf","844238","2026-05-04 22:16:42"
"files\08_NCh3171_2017.pdf","1459699","2026-05-04 22:16:42"
"files\09_NCh1537_2009.pdf","270861","2026-05-04 22:16:42"
"files\10_INDICE_Apuntes.md","32074","2026-05-04 22:16:42"
"files\11_02c_Analisis_Estatico.pdf","1344398","2026-05-04 22:16:42"
"files\12_02d_Analisis_Dinamico_Modal_Espectral.pdf","926864","2026-05-04 22:16:42"
"files\13_GUIA_ED1_ETABS_v21.md","37635","2026-05-04 22:16:42"
"files\14_ESTADO_NORMATIVO_CURSO_2026.md","5051","2026-05-04 22:16:42"
"files\15_MODELADO_MANUAL_ED1_NOTAS.md","1260","2026-05-04 22:16:42"
"files\16_ED1_ejes_distancia_origen.xlsx","5526","2026-05-04 22:16:42"
"files\17_ED1_auxiliares_x.xlsx","5372","2026-05-04 22:16:42"
"files\18_validacion_cruzada.md","21710","2026-05-04 22:16:42"
"files\19_resultados_esperados.md","6548","2026-05-04 22:16:42"
"files\20_VERIFICACION_FINAL.md","7256","2026-05-04 22:16:42"
"reports\README.md","302","2026-05-08 20:16:26"
