Mode,Period,UX,UY,RZ,SumUX,SumUY
1,0.408000,9.327e-07,0.8669,0.0,9.327e-07,0.8669
2,0.408000,0.8669,9.327e-07,0.0,0.8669,0.8669
3,0.359000,0.0,0.0,0.8681,0.8669,0.8669
4,0.138000,0.0,0.1002,0.0,0.8669,0.9671
5,0.138000,0.1002,0.0,0.0,0.9671,0.9671
6,0.122000,0.0,0.0,0.0991,0.9671,0.9671
7,0.079000,0.0,0.0227,0.0,0.9671,0.9897
8,0.079000,0.0227,0.0,0.0,0.9897,0.9897
9,0.070000,0.0,0.0,0.0225,0.9897,0.9897
10,0.055000,0.0,0.0075,0.0,0.9897,0.9972
11,0.055000,0.0075,0.0,0.0,0.9972,0.9972
12,0.049000,0.0,0.0,0.0075,0.9972,0.9972
13,0.044000,0.0,0.0028,0.0,0.9972,1.0
14,0.044000,0.0028,0.0,0.0,1.0,1.0
15,0.039000,0.0,0.0,0.0027,1.0,1.0
