story,case,location,Vx_tonf,Vy_tonf,Mx_tonf_m,My_tonf_m,source
Story5,EX,Top,320.049400,0.000000,0.000000,0.000000,etabs_table
Story5,EX,Bottom,320.049400,0.000000,0.000000,960.148200,etabs_table
Story5,EY,Top,0.000000,320.049400,0.000000,0.000000,etabs_table
Story5,EY,Bottom,0.000000,320.049400,960.148200,0.000000,etabs_table
Story4,EX,Top,470.329900,0.000000,0.000000,960.148200,etabs_table
Story4,EX,Bottom,470.329900,0.000000,0.000000,2371.138000,etabs_table
Story4,EY,Top,0.000000,470.329900,960.148200,0.000000,etabs_table
Story4,EY,Bottom,0.000000,470.329900,2371.138000,0.000000,etabs_table
Story3,EX,Top,585.644300,0.000000,0.000000,2371.138000,etabs_table
Story3,EX,Bottom,585.644300,0.000000,0.000000,4128.070800,etabs_table
Story3,EY,Top,0.000000,585.644300,2371.138000,0.000000,etabs_table
Story3,EY,Bottom,0.000000,585.644300,4128.070800,0.000000,etabs_table
Story2,EX,Top,686.249700,0.000000,0.000000,4128.070800,etabs_table
Story2,EX,Bottom,686.249700,0.000000,0.000000,6186.819900,etabs_table
Story2,EY,Top,0.000000,686.249700,4128.070800,0.000000,etabs_table
Story2,EY,Bottom,0.000000,686.249700,6186.819900,0.000000,etabs_table
Story1,EX,Top,790.633300,0.000000,0.000000,6186.819900,etabs_table
Story1,EX,Bottom,790.633300,0.000000,0.000000,8954.036400,etabs_table
Story1,EY,Top,0.000000,790.633300,6186.819900,0.000000,etabs_table
Story1,EY,Bottom,0.000000,790.633300,8954.036400,0.000000,etabs_table
